lng,lat,precipitation,temperature,elevation,dem,slope,presence
11.763353558061766,48.17007007237029,951,8.758333399891853,512,512,0.24978919327259064,present
12.909653331611002,48.83227458642033,950,8.133333396166563,312,312,0.11675563454627991,present
10.945560672949112,48.96679172268891,703,8.316666703671217,423,423,2.9791791439056396,present
10.182857994278965,48.35156043850277,835,8.183333459620675,515,515,0.8125125169754028,present
10.182857994278965,48.35156043850277,835,8.183333459620675,515,515,0.8125125169754028,present
11.452359915733918,49.140625295235495,813,8.191666702429453,428,428,6.157956123352051,present
11.452359915733918,49.140625295235495,813,8.191666702429453,428,428,6.157956123352051,present
11.452359915733918,49.140625295235495,813,8.191666702429453,428,428,6.157956123352051,present
11.452359915733918,49.140625295235495,813,8.191666702429453,428,428,6.157956123352051,present
11.861724148873158,48.920312988006934,710,8.549999897678694,344,344,2.9476144313812256,present
11.880638167746994,48.91351796716438,700,8.674999913200736,344,344,2.2269883155822754,present
11.886910898375971,48.91484609937933,699,8.674999913200736,344,344,0.23784297704696655,present
11.880638167746994,48.91351796716438,700,8.674999913200736,344,344,2.2269883155822754,present
11.880638167746994,48.91351796716438,700,8.674999913200736,344,344,2.2269883155822754,present
11.856215485271582,48.918984438091044,725,8.425000036756197,344,344,0.948171854019165,present
11.881283782661715,48.91743920418436,702,8.616666707520684,345,345,3.6108603477478027,present
11.838726332112415,48.913826890737006,757,8.166666628792882,475,475,2.8378236293792725,present
11.838726332112415,48.913826890737006,757,8.166666628792882,475,475,2.8378236293792725,present
11.838726332112415,48.913826890737006,757,8.166666628792882,475,475,2.8378236293792725,present
11.838726332112415,48.913826890737006,757,8.166666628792882,475,475,2.8378236293792725,present
11.838726332112415,48.913826890737006,757,8.166666628792882,475,475,2.8378236293792725,present
11.881283782661715,48.91743920418436,702,8.616666707520684,345,345,3.6108603477478027,present
12.051291176093983,48.392799761609304,880,8.258333244050542,512,512,0.2087104320526123,present
11.86114325563761,48.152161668928954,969,8.508333365122477,513,513,0.29467135667800903,present
11.347474527866073,48.23782932475583,910,8.44166673719883,495,495,0.18091867864131927,present
11.347474527866073,48.23782932475583,910,8.44166673719883,495,495,0.18091867864131927,present
11.347474527866073,48.23782932475583,910,8.44166673719883,495,495,0.18091867864131927,present
11.347474527866073,48.23782932475583,910,8.44166673719883,495,495,0.18091867864131927,present
11.92202327043317,48.171635340842506,961,8.47499987607201,515,515,0.2902081608772278,present
11.80214859528685,48.027669330040965,1119,8.399999968707561,580,580,0.45118945837020874,present
11.807000188221064,48.190098536613526,937,8.641666688024998,504,504,0.16217918694019318,present
11.802435457570438,48.19498315120577,928,8.624999957780043,503,503,0.21431949734687805,present
11.802435457570438,48.19498315120577,928,8.624999957780043,503,503,0.21431949734687805,present
11.802662589790277,48.20241198041324,919,8.608333267271519,499,499,0.5627588033676147,present
11.810619556960292,48.16407791845601,964,8.633333392441273,516,516,0.5140376091003418,present
11.793596591027958,48.16512790407073,961,8.708333330849806,517,517,0.2722800672054291,present
11.793596591027958,48.16512790407073,961,8.708333330849806,517,517,0.2722800672054291,present
11.793596591027958,48.16512790407073,961,8.708333330849806,517,517,0.2722800672054291,present
11.793596591027958,48.16512790407073,961,8.708333330849806,517,517,0.2722800672054291,present
11.821937403395774,48.102005712071055,1028,8.51666671782732,543,543,0.3392433822154999,present
11.942766918139448,48.16109826882059,973,8.416666710128387,530,530,0.6974226832389832,present
11.93345283477923,48.160059072723094,971,8.425000035514435,520,520,0.6880110502243042,present
11.963483799792403,48.11892776551521,1021,8.266666654497385,565,565,0.49551504850387573,present
11.928235354047601,48.10316390750022,1037,8.28333330526948,574,574,0.6481512188911438,present
11.934679230100723,48.40296431954041,833,8.566666673248013,427,427,0.1685541868209839,present
11.896356118084586,48.3128533579253,870,8.616666566580534,459,459,0.2969405949115753,present
11.909631423450472,48.30000435498455,881,8.633333257089058,465,465,0.37460920214653015,present
11.902900462253704,48.31704081635646,863,8.616666566580534,454,454,0.24979546666145325,present
11.902900462253704,48.31704081635646,863,8.616666566580534,454,454,0.24979546666145325,present
11.923825624831414,48.31742517942603,865,8.649999987334013,454,454,0.2988015115261078,present
11.920420781618484,48.313277082311416,872,8.65833335245649,459,459,0.4204424023628235,present
11.916678591108871,48.31801380640877,865,8.649999987334013,454,454,0.2988015115261078,present
11.984802216543473,48.43943885684907,828,8.591666768615445,422,422,1.7510510683059692,present
11.989762113740575,48.44085126066365,828,8.591666768615445,422,422,1.7510510683059692,present
11.989762113740575,48.44085126066365,828,8.591666768615445,422,422,1.7510510683059692,present
11.976616676071282,48.4286640423809,829,8.600000102072954,423,423,0.9346070289611816,present
11.97895378576636,48.43007636627484,829,8.600000102072954,423,423,0.9346070289611816,present
11.951387188733195,48.41591333069179,832,8.583333371828,424,424,0.1571737825870514,present
11.984802216543473,48.43943885684907,828,8.591666768615445,422,422,1.7510510683059692,present
11.836764337011642,48.270867609667306,881,8.450000105425715,473,473,0.1952216774225235,present
11.822167395054969,48.32768250110641,840,8.350000028808912,452,452,0.2690163850784302,present
11.822167395054969,48.32768250110641,840,8.350000028808912,452,452,0.2690163850784302,present
11.822167395054969,48.32768250110641,840,8.350000028808912,452,452,0.2690163850784302,present
11.84186214978823,48.31718026742523,856,8.408333433171114,465,465,0.34378954768180847,present
11.623850975091177,48.30466031292617,849,8.466666769236326,464,464,0.21017563343048096,present
11.637922221342633,48.31253839516631,841,8.458333438883225,460,460,0.18797282874584198,present
11.618402031331971,48.29601798455419,852,8.49166672428449,468,468,0.13263870775699615,present
11.612799171343534,48.29908393250347,853,8.483333438634872,467,467,0.15502581000328064,present
11.612799171343534,48.29908393250347,853,8.483333438634872,467,467,0.15502581000328064,present
11.612799171343534,48.29908393250347,853,8.483333438634872,467,467,0.15502581000328064,present
11.617089826669607,48.32735461482964,829,8.341666646922627,457,457,1.323568344116211,present
11.656028007720922,48.30456302236011,849,8.508333356430134,463,463,0.11125405877828598,present
11.30452391058779,48.15369688950841,956,8.525000013411045,532,532,0.757332444190979,present
11.243690787961533,48.179465831933996,934,8.55833338201046,525,525,0.28750866651535034,present
11.221206803764678,48.17061021825115,933,8.366666765262684,535,535,1.0306499004364014,present
11.382652458736727,48.140238856056044,967,8.533333467940489,537,537,0.39053502678871155,present
11.376499569828477,48.14236409412548,962,8.533333458006382,529,529,0.3741402328014374,present
11.377558673869089,48.145904237659344,962,8.533333458006382,529,529,0.3741402328014374,present
11.376499569828477,48.14236409412548,962,8.533333458006382,529,529,0.3741402328014374,present
11.376499569828477,48.14236409412548,962,8.533333458006382,529,529,0.3741402328014374,present
11.39177712348458,48.146978548939686,964,8.558333364625772,527,527,0.3737882673740387,present
11.376499569828477,48.14236409412548,962,8.533333458006382,529,529,0.3741402328014374,present
11.376499569828477,48.14236409412548,962,8.533333458006382,529,529,0.3741402328014374,present
11.377558673869089,48.145904237659344,962,8.533333458006382,529,529,0.3741402328014374,present
11.376499569828477,48.14236409412548,962,8.533333458006382,529,529,0.3741402328014374,present
11.335829223794565,48.12845748453416,968,8.516666807234287,539,539,1.3768091201782227,present
